Timestamp,Username,Your name,Your language,What country (or countries) is/was your language primarily spoken in (originally)?,What language family does your language belong to?,"Level of endangerment (according to Ethnologue, or according to your grammar if that has been deemed more reliable)","1. How many consonant phonemes does your language have in total (including affricates, non-pulmonic consonants, etc.)?","2. How many vowel phonemes does your language have in total (including diphthongs, long vowels, etc.)?",3. How many phonemes (consonants + vowels) does your language have in total?,4. Which of the following consonant phonemes does your language have?,5. Which of the following less common consonant phonemes does your language have?,6. Does your language have any of the following types of consonants (as phonemes)?,7. Which of the following common vowel phonemes does your language have?,8. Which of the following less common vowel phonemes does your language have?,9. Does your language have any vowels of the following types (as phonemes)? ,10. Which of the following phonetic and phonological properties does your language have?,11. Which of the following aspects of syllables are allowed in your language?
2021/10/04 4:17:16 PM MDT,fc7fa8e2b0df6f3b,e1d95fa0f39d757c,Maori,New Zealand,Austronesian,6b,10,22,32,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/p/;/w/;/h/;/ŋ/;/f/","/ɾ/ (including dental, alveolar, or postalveolar /ɾ/)",None of the above,/a/;/e/;/o/;/i/;/u/,None of the above,Long vowels;Diphthongs,"There is stress in the language, and stress is mostly predictable (follows a set pattern).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC)"
2021/10/04 8:11:07 PM MDT,47c75b257b4996c2,2d4259d47841c902,Bathari,Oman,Afro-Asiatic,8b,26,16,42,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/h/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ʃ/;/ʔ/;/f/;/r/ (including dental, alveolar, or postalveolar /r/);/z/;/x/",/θ/;/ð/;/ɬ/;/ɮ/;/ɣ/,Ejectives,/e/;/o/;/i/;/u/;/ə/,/ɛ/;/aᶠ/,Long vowels;Diphthongs,"There are ""complex consonant"" phonemes (NOTE: ""complex consonants"" are any of those on the following list: clicks, ejectives, implosives, glottalized (have the glottal stop as a diacritic), labial-velar stops, dental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal consonants).;There is stress in the language, and stress is mostly predictable (follows a set pattern).","C onset (syllable with a single onset consonant, e.g., CV or CVC);CC onset (syllable with a two onset consonants, e.g., CCV or CCVC);C coda (syllable with a single coda consonant, e.g., VC or CVC)"
2021/10/04 9:43:47 PM MDT,e85df41f4d673f19,f37c27febbec66c2,Yintyingka,Australia,Pama–Nyungan,10,16,10,26,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/ŋ/;/ʔ/;/r/ (including dental, alveolar, or postalveolar /r/);/ɲ/","/ɹ/ (including dental, alveolar, or postalveolar /ɹ/);/c/",None of the above,/i/;/u/,/ɛ/;/aᶠ/;/ɔ/,Long vowels,"There is tone (including ""pitch accent"", but not including intonation) in the language.;There is stress in the language, and stress is mostly predictable (follows a set pattern).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);C coda (syllable with a single coda consonant, e.g., VC or CVC)"
2021/10/05 8:20:28 AM MDT,446afe9485814472,5c673cb2c0ee3003,Domari,"Turkey has the largest Domari speaking population, but speakers are spread across the middle east and North Africa.",Indo-European,6b,34,14,48,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/h/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ŋ/;/ʃ/;/ʔ/;/tʃ/;/f/;/r/ (including dental, alveolar, or postalveolar /r/);/z/;/dʒ/;/x/;/v/",/ʒ/;/ɣ/;/q/;/χ/;/ħ/;/ʕ/,Affricates,/a/;/e/;/o/;/i/;/u/;/ɨ/;/ʌ/;/ʉ/,/ɛ/;/æ/;/ɪ/;/ʊ/;/ɔ/;/ɑ/,None of the above,"There are ""complex consonant"" phonemes (NOTE: ""complex consonants"" are any of those on the following list: clicks, ejectives, implosives, glottalized (have the glottal stop as a diacritic), labial-velar stops, dental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal consonants).;There is stress in the language, and stress is mostly predictable (follows a set pattern).","C onset (syllable with a single onset consonant, e.g., CV or CVC);CC onset (syllable with a two onset consonants, e.g., CCV or CCVC);C coda (syllable with a single coda consonant, e.g., VC or CVC);CC coda (syllable with two coda consonants, e.g., VCC or CVCC)"
2021/10/05 12:54:22 PM MDT,f971ebb5bd7978bc,56643df0dea5e2cd,Ute,"The United States, Ute tribe",Uto-Aztecan,6b,18,18,36,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/w/;/h/;/ʔ/;/r/ (including dental, alveolar, or postalveolar /r/);/x/",/β/;/c/;/ɣ/;/q/;/χ/;/ʁ/,None of the above,/a/;/e/;/o/;/i/;/u/;/ɨ/;/ɯ/;/ø/,/æ/,Long vowels,"There is stress in the language, and stress is mostly predictable (follows a set pattern).","C onset (syllable with a single onset consonant, e.g., CV or CVC);CC onset (syllable with a two onset consonants, e.g., CCV or CCVC);C coda (syllable with a single coda consonant, e.g., VC or CVC)"
2021/10/05 3:45:35 PM MDT,f8822ca4bfbd55b8,87fd09f073a37189,Siwi Berber,Egypt,Afro-asiatic,6a,30,12,42,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/h/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/ʃ/;/ʔ/;/tʃ/;/dʒ/",/β/;/ʒ/;/χ/;/ʁ/;/ʕ/,Labialized,/a/;/e/;/o/;/i/;/u/;/ə/,None of the above,Long vowels;Pharyngealized vowels,"There are ""complex consonant"" phonemes (NOTE: ""complex consonants"" are any of those on the following list: clicks, ejectives, implosives, glottalized (have the glottal stop as a diacritic), labial-velar stops, dental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal consonants).;There is stress in the language, and stress is mostly predictable (follows a set pattern).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);CC onset (syllable with a two onset consonants, e.g., CCV or CCVC);C coda (syllable with a single coda consonant, e.g., VC or CVC);CC coda (syllable with two coda consonants, e.g., VCC or CVCC);CCC coda (syllable with three coda consonants, e.g., VCCC or CVCCC)"
2021/10/05 3:46:45 PM MDT,e4747812fb6b3b6f,6f42214328e4950b,Wambule,Nepal,Sino-Tibetan,My grammar says it is endangered ,32,11,43,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ŋ/;/ʔ/;/r/ (including dental, alveolar, or postalveolar /r/);/ts/","/pʰ/;/tʰ/ (including dental, alveolar, or postalveolar /tʰ/);/ʈʰ/;/kʰ/;/dz/;/ʈ/;/ɖ/",Implosives;Affricates;Aspirated,/a/;/e/;/o/;/i/;/u/;/ʌ/,None of the above,Long vowels;Diphthongs,"There are ""complex consonant"" phonemes (NOTE: ""complex consonants"" are any of those on the following list: clicks, ejectives, implosives, glottalized (have the glottal stop as a diacritic), labial-velar stops, dental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal consonants).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);CC onset (syllable with a two onset consonants, e.g., CCV or CCVC);C coda (syllable with a single coda consonant, e.g., VC or CVC);CC coda (syllable with two coda consonants, e.g., VCC or CVCC)"
2021/10/05 4:22:13 PM MDT,f2cfc47d16d837d4,d38d32f9d0c5ea15,Kurtop,Bhutan,Sino-Tibetan,6b,28,11,39,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/h/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ŋ/;/ʔ/;/ɲ/;/z/;/ts/","/pʰ/;/tʰ/ (including dental, alveolar, or postalveolar /tʰ/);/cʰ/;/kʰ/;/ɹ/ (including dental, alveolar, or postalveolar /ɹ/);/ç/",Affricates;Aspirated,/e/;/o/;/i/;/u/;/y/,/ɐ/,Diphthongs,"There is tone (including ""pitch accent"", but not including intonation) in the language.;There is stress in the language, and stress is mostly predictable (follows a set pattern).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);CC onset (syllable with a two onset consonants, e.g., CCV or CCVC);C coda (syllable with a single coda consonant, e.g., VC or CVC)"
2021/10/05 4:33:30 PM MDT,38f207a85af0abf8,9ce0e5557251ba48,Kurukh,India,North Dravidian,6b,34,25,59,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/h/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ŋ/;/ʔ/;/tʃ/;/ɲ/;/dʒ/;/x/","/pʰ/;/bʰ/;/tʰ/ (including dental, alveolar, or postalveolar /tʰ/);/dʰ/ (including dental, alveolar, or postalveolar /dʰ/);/ʈʰ/;/ɖʰ/;/kʰ/;/gʰ/;/ɾ/ (including dental, alveolar, or postalveolar /ɾ/);/ʈ/;/ɖ/;/ɽ/",Affricates;Aspirated,/a/;/e/;/o/;/i/;/u/;/ə/,/ɐ/,Nasalized vowels;Long vowels;Diphthongs,None of the above,"V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);CC onset (syllable with a two onset consonants, e.g., CCV or CCVC);C coda (syllable with a single coda consonant, e.g., VC or CVC);CC coda (syllable with two coda consonants, e.g., VCC or CVCC)"
2021/10/05 5:35:29 PM MDT,a4abcd84e941fc3a,2f2179e1eb711de2,Jarawara,Brazil,Arawan,7,11,4,15,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/s/;/w/;/h/;/b/;/ʔ/",/ɸ/;/ɟ/,None of the above,/e/;/i/,/ɐ/;/ɤ/,None of the above,None of the above,"V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC)"
