Timestamp,Username,Your name,Your language,What country (or countries) is/was your language primarily spoken in (originally)?,What language family does your language belong to?,"Level of endangerment (according to Ethnologue, or according to your grammar if that has been deemed more reliable)","1. How many consonant phonemes does your language have in total (including affricates, non-pulmonic consonants, etc.)?","2. How many vowel phonemes does your language have in total (including diphthongs, triphthongs, long vowels, nasalized vowels, etc.)? (Do not include vowels with distinct tones as being distinct from each other.)",3. How many phonemes (consonants + vowels) does your language have in total?,4. Which of the following consonant phonemes does your language have?,5. Which of the following less common consonant phonemes does your language have?,6. Does your language have any of the following types of consonants (as phonemes)?,7. Which of the following common vowel phonemes does your language have?,8. Which of the following less common vowel phonemes does your language have?,9. Does your language have any vowels of the following types (as phonemes)? ,10. Which of the following phonetic and phonological properties does your language have?,11. Which of the following characteristics of syllables are allowed in your language?
2025/09/30 10:10:39 PM MDT,78507194e12d3d30,2a28dbea11fd17bd,Musqueam,Canada,Salish,8a,43,5,48,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/s/;/p/;/w/;/h/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/ʔ/;/f/;/x/","/θ/;/ɮ/;/ɹ/ (including dental, alveolar, or postalveolar /ɹ/);/c/;/ɰ/;/q/",Ejectives;Affricates;Glottalized,/e/;/u/;/ə/,/ɛ/;/ɑ/,None of the above,"There are ""complex consonant"" phonemes (NOTE: ""complex consonants"" are any of those on the following list: clicks, ejectives, implosives, glottalized (have the glottal stop as a diacritic), labial-velar stops, dental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal(ized) consonants).;There is stress (may also be called ""accent"") in the language, but stress is not predictably placed.","C onset (syllable with a single onset consonant, e.g., CV or CVC);CC onset (syllable with a two onset consonants, e.g., CCV or CCVC);CC coda (syllable with two coda consonants, e.g., VCC or CVCC)"
2025/09/30 10:22:22 PM MDT,01869d93cd99f98a,6c8548e56c9e5e50,Jejueo,South Korea,Koreanic,8a,22,19,41,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/h/;/ŋ/;/tʃ/;/ɲ/","/pʰ/;/tʰ/ (including dental, alveolar, or postalveolar /tʰ/);/kʰ/",Affricates;Aspirated,/a/;/e/;/o/;/i/;/u/;/ə/;/ɨ/,/æ/;/ɒ/,Diphthongs,None of the above,"V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);C coda (syllable with a single coda consonant, e.g., VC or CVC)"
2025/09/30 10:49:33 PM MDT,f5ce3b05df32e19e,0d07c1c280ee2449,Assyrian Neo-Aramaic (Urmi Dialect),"Urmi, Iran",Afro-Asiatic,6b,34,8,42,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/j/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/h/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/ʃ/;/ʔ/;/tʃ/;/f/;/r/ (including dental, alveolar, or postalveolar /r/);/z/;/dʒ/;/x/;/v/","/pʰ/;/tʰ/ (including dental, alveolar, or postalveolar /tʰ/);/cʰ/;/ʒ/;/c/;/ɣ/",Ejectives;Affricates;Aspirated,/e/;/o/;/i/;/u/;/ə/,/ɑ/,Long vowels;Diphthongs,"There are ""complex consonant"" phonemes (NOTE: ""complex consonants"" are any of those on the following list: clicks, ejectives, implosives, glottalized (have the glottal stop as a diacritic), labial-velar stops, dental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal(ized) consonants).;There is stress (may also be called ""accent"") in the language, but stress is not predictably placed.","C onset (syllable with a single onset consonant, e.g., CV or CVC);CC onset (syllable with a two onset consonants, e.g., CCV or CCVC);CCC onset (syllable with three onset consonants, e.g., CCCV or CCCVC);C coda (syllable with a single coda consonant, e.g., VC or CVC);CC coda (syllable with two coda consonants, e.g., VCC or CVCC)"
2025/10/01 8:04:34 AM MDT,f3c27e6f7c612e89,b18969ce324572cb,(Kurima) Miyako,Japan,Japonic,8a,22,14,36,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/w/;/h/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/f/;/z/;/v/","/ɾ/ (including dental, alveolar, or postalveolar /ɾ/)",Affricates,/a/;/e/;/o/;/i/;/u/;/ɨ/,None of the above,Long vowels;Diphthongs,None of the above,"V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);CC onset (syllable with a two onset consonants, e.g., CCV or CCVC);C coda (syllable with a single coda consonant, e.g., VC or CVC)"
2025/10/01 1:19:46 PM MDT,435b497234872d61,217dcd2c1ddbcef8,Central Atlas Tamazight,Morocco (dialect),Afro-Asiatic,6b,33,4,37,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/h/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ʃ/;/ʔ/;/f/;/r/ (including dental, alveolar, or postalveolar /r/);/z/",/ʒ/;/ç/;/q/;/χ/;/ʁ/;/ħ/;/ʕ/,Labialized;Pharyngealized,/a/;/i/;/u/;/ə/,None of the above,None of the above,"There are ""complex consonant"" phonemes (NOTE: ""complex consonants"" are any of those on the following list: clicks, ejectives, implosives, glottalized (have the glottal stop as a diacritic), labial-velar stops, dental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal(ized) consonants).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);CC onset (syllable with a two onset consonants, e.g., CCV or CCVC);C coda (syllable with a single coda consonant, e.g., VC or CVC);CC coda (syllable with two coda consonants, e.g., VCC or CVCC)"
2025/10/01 3:22:28 PM MDT,074fc5b55831045a,5d10eef1ca269351,Baba Malay,Malaysia and Singapore ,Austronesian ,8a,19,12,31,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/h/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ŋ/;/ʔ/;/tʃ/;/ɲ/;/dʒ/","/ɾ/ (including dental, alveolar, or postalveolar /ɾ/)",Affricates,/a/;/e/;/o/;/i/;/u/;/ə/,/ɛ/;/ɔ/,Diphthongs,"There is stress (may also be called ""accent"") in the language, and stress is mostly predictable (follows a set pattern).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);CC onset (syllable with a two onset consonants, e.g., CCV or CCVC);C coda (syllable with a single coda consonant, e.g., VC or CVC);CC coda (syllable with two coda consonants, e.g., VCC or CVCC)"
2025/10/01 4:05:15 PM MDT,5184771dff96d960,1e02a2dc118da077,Tayap,Papua New Guinea,Isolate,8a,14,6,20,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/w/;/ŋ/;/r/ (including dental, alveolar, or postalveolar /r/)",None of the above,Pre-nasalized,/a/;/i/;/u/;/ɵ/,/ɛ/;/ɔ/,None of the above,"There is stress (may also be called ""accent"") in the language, and stress is mostly predictable (follows a set pattern).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);CC onset (syllable with a two onset consonants, e.g., CCV or CCVC);C coda (syllable with a single coda consonant, e.g., VC or CVC);CC coda (syllable with two coda consonants, e.g., VCC or CVCC)"
2025/10/01 4:37:14 PM MDT,b87a98c0d6b6eedd,de827bc38003ef8f,Skolt Saami,Finland; Russia,Uralic,7,30,16,46,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ŋ/;/ʃ/;/tʃ/;/f/;/ɲ/;/z/;/ts/;/dʒ/;/x/;/v/","/ð/;/ɾ/ (including dental, alveolar, or postalveolar /ɾ/);/dz/;/ʒ/;/c/;/ɟ/;/ʝ/;/ʎ/;/ɣ/",Affricates;Palatalized,/a/;/e/;/o/;/i/;/u/,None of the above,Diphthongs,"There are ""complex consonant"" phonemes (NOTE: ""complex consonants"" are any of those on the following list: clicks, ejectives, implosives, glottalized (have the glottal stop as a diacritic), labial-velar stops, dental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal(ized) consonants).;There is stress (may also be called ""accent"") in the language, and stress is mostly predictable (follows a set pattern).","C onset (syllable with a single onset consonant, e.g., CV or CVC);C coda (syllable with a single coda consonant, e.g., VC or CVC);CC coda (syllable with two coda consonants, e.g., VCC or CVCC)"
2025/10/01 4:59:47 PM MDT,efa5a36ce1e9b777,16b05e0b3cc5e286,Qiang,China,Sino-Tibetan,7,37,30,67,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/h/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ŋ/;/ɲ/;/z/;/ts/;/x/","/pʰ/;/tʰ/ (including dental, alveolar, or postalveolar /tʰ/);/kʰ/;/qʰ/;/ɸ/;/dz/;/ɬ/;/ʂ/;/ʐ/;/q/;/χ/;/ʁ/;/ɦ/",Affricates;Aspirated,/e/;/o/;/i/;/u/;/ə/;/y/,/aᶠ/;/ɑ/,Long vowels;Diphthongs;Triphthongs,"There are ""complex consonant"" phonemes (NOTE: ""complex consonants"" are any of those on the following list: clicks, ejectives, implosives, glottalized (have the glottal stop as a diacritic), labial-velar stops, dental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal(ized) consonants).;There is stress (may also be called ""accent"") in the language, and stress is mostly predictable (follows a set pattern).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);CC onset (syllable with a two onset consonants, e.g., CCV or CCVC);C coda (syllable with a single coda consonant, e.g., VC or CVC);CC coda (syllable with two coda consonants, e.g., VCC or CVCC)"
2025/10/01 5:19:42 PM MDT,9d94221cb960e398,df6d62b2019b7323,Osage,United States of America ,Siouan,9,31,8,39,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/h/;/b/;/ʃ/;/tʃ/;/z/;/x/","/pʰ/;/tʰ/ (including dental, alveolar, or postalveolar /tʰ/);/cʰ/;/ð/;/ɹ/ (including dental, alveolar, or postalveolar /ɹ/);/ʒ/;/ɣ/",Affricates;Glottalized,/e/;/o/;/i/;/y/,/ɑ/,Nasalized vowels;Long vowels,"There are ""complex consonant"" phonemes (NOTE: ""complex consonants"" are any of those on the following list: clicks, ejectives, implosives, glottalized (have the glottal stop as a diacritic), labial-velar stops, dental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal(ized) consonants).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);CC onset (syllable with a two onset consonants, e.g., CCV or CCVC)"
2025/10/01 5:25:14 PM MDT,cfe042776e9f8509,466e63e9798216ac,Bilinarra,Australia,Pama-Nyungan,8a,23,6,29,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ŋ/;/r/ (including dental, alveolar, or postalveolar /r/);/ɲ/","/ɾ/ (including dental, alveolar, or postalveolar /ɾ/);/ʈ/;/ɖ/;/ɳ/;/ɻ/;/ɭ/;/c/;/ɟ/;/ʎ/",None of the above,None of the above,/ɪ/;/ɐ/;/ʊ/,Long vowels,"There is stress (may also be called ""accent"") in the language, and stress is mostly predictable (follows a set pattern).","C onset (syllable with a single onset consonant, e.g., CV or CVC);C coda (syllable with a single coda consonant, e.g., VC or CVC);CC coda (syllable with two coda consonants, e.g., VCC or CVCC)"
2025/10/01 5:25:49 PM MDT,6897420641083d51,5a5e94ec070aa7b5,Onondaga,"Canada, United States",Iroquoian languages,8b,11,7,18,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/k/;/j/;/s/;/w/;/h/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ʔ/",/c/,Affricates,/a/;/e/;/o/;/i/,/æ/,Nasalized vowels,"There are ""complex consonant"" phonemes (NOTE: ""complex consonants"" are any of those on the following list: clicks, ejectives, implosives, glottalized (have the glottal stop as a diacritic), labial-velar stops, dental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal(ized) consonants).;There is stress (may also be called ""accent"") in the language, and stress is mostly predictable (follows a set pattern).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);CC onset (syllable with a two onset consonants, e.g., CCV or CCVC);CCC onset (syllable with three onset consonants, e.g., CCCV or CCCVC);CCCC onset (syllable with four onset consonants, e.g., CCCCV or CCCCVC)"
2025/10/01 5:46:27 PM MDT,58a2c81244a125f8,fc5d7b9225a749a5,Mambay ,Cameroon and Chad ,Niger-Congo,6a,15,15,30,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/h/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ŋ/;/z/;/v/",None of the above,Implosives;Affricates;Labialized;Palatalized;Velarized;Glottalized,/a/;/e/;/o/;/i/;/u/,None of the above,Nasalized vowels;Long vowels;Pharyngealized vowels,"There are ""complex consonant"" phonemes (NOTE: ""complex consonants"" are any of those on the following list: clicks, ejectives, implosives, glottalized (have the glottal stop as a diacritic), labial-velar stops, dental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal(ized) consonants).;There is tone (including ""pitch accent"", but not including intonation) in the language.","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);C coda (syllable with a single coda consonant, e.g., VC or CVC)"
2025/10/01 6:03:21 PM MDT,c40c22a63199c15e,9905cd3053903722,Crow,present day United States,Siouan,6b,11,10,21,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/s/;/p/;/h/;/ʃ/;/ʔ/;/tʃ/;/x/",None of the above,None of the above,/a/;/o/;/i/;/u/,/ɛ/,Long vowels;Diphthongs,"There is tone (including ""pitch accent"", but not including intonation) in the language.;There is stress (may also be called ""accent"") in the language, but stress is not predictably placed.","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);C coda (syllable with a single coda consonant, e.g., VC or CVC)"
2025/10/01 6:16:35 PM MDT,da988d7a9807d34f,2bf1379ea209c59c,Ute,United States ,Uto-Aztecan,6b,13,5,18 ,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/w/;/ʔ/;/v/",/ð/;/c/;/ɣ/,None of the above,/a/;/i/;/u/;/ɯ/;/ø/,None of the above,None of the above,"There are ""complex consonant"" phonemes (NOTE: ""complex consonants"" are any of those on the following list: clicks, ejectives, implosives, glottalized (have the glottal stop as a diacritic), labial-velar stops, dental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal(ized) consonants).;There is stress (may also be called ""accent"") in the language, and stress is mostly predictable (follows a set pattern).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);C coda (syllable with a single coda consonant, e.g., VC or CVC)"
2025/10/01 6:47:52 PM MDT,dec250c2a2568248,c1464e6586cd7e0e,Teiwa,"Eastern Indonesia, Pantar and Alor Island",non-Austronesian Papuan Language,6a,20,8,28,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/h/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ŋ/;/ʔ/;/r/ (including dental, alveolar, or postalveolar /r/);/v/",/ɸ/;/q/;/ħ/,Glottalized;Pharyngealized,/a/;/e/;/i/;/u/,/ɔ/;/ɑ/,Long vowels;Diphthongs,"There is stress (may also be called ""accent"") in the language, but stress is not predictably placed.","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);C coda (syllable with a single coda consonant, e.g., VC or CVC)"
