Timestamp,Username,Your name,Your language,Please list the publisher and author of your grammar,"Would you recommend the grammar that you worked with to future students of LIN 360 (on the merits of its clarity, organization, etc.)?",1. Which of the following morphological types does your language fall into *primarily*?,2. What sorts of morphological word-formation strategies does your language use?,3. Which of these best describes the frequency of different types of AFFIXATION in your language?,4. Which of these best describes the frequency of NON-affixational word-formation strategies in your language?,"5. What sorts of functional morphology does your language have (whether affixal, through a morphological process, or free i.e. as a function word)?",6. What is(/are) the basic word order(s) of your language?,7. How does your language pattern with respect to headedness?
2025/11/22 10:10:31 PM EST,78507194e12d3d30,2a28dbea11fd17bd,Musqueam," UBC Press, 2004 - Wayne Suttles","Yes, my grammar was great to work with","Agglutinating (= synthetic and has few/no ""fused"" morphemes, potentially just fused morphemes of the most common type, which is person+number)",Suffixation;Prefixation;Infixation;Compounding;Suppletion;Reduplication,Roughly even mix of prefixing and suffixing,Most word-formation involves affixation (rather than non-affixal word-formation strategies),"Nominalizers;Verbalizers;Other verbal derivational morphology (e.g., causative, applicative, passive, reflexive);Verbal inflectional morphology (e.g., tense, aspect, mood);Nominal inflectional morphology (e.g., case, number, gender)",VSO;OSV,Consistently head-initial
2025/11/23 12:44:56 PM EST,6897420641083d51,4ef441c803e57efb,Onondaga Language ,Hanni Woodbury - Toronto : University of Toronto Press,"Maybe (e.g., perhaps only for a student with a linguistics background)","Fusional (= synthetic and has a good number of ""fused"" morphemes);Polysynthetic (= expresses whole sentence meanings in complex words; most sentences have words with 5+ morphemes)",Suffixation;Prefixation,Roughly even mix of prefixing and suffixing,Most word-formation involves affixation (rather than non-affixal word-formation strategies),"Nominalizers;Verbalizers;Verbal inflectional morphology (e.g., tense, aspect, mood);Nominal inflectional morphology (e.g., case, number, gender)","No basic word order (i.e., at least seemingly free word order)",Consistently head-initial
2025/11/24 1:49:20 PM EST,f3c27e6f7c612e89,b18969ce324572cb,Kurima Miyako,"Aleksandra Jarosz, BRILL","Yes, my grammar was great to work with","Fusional (= synthetic and has a good number of ""fused"" morphemes)",Suffixation;Suppletion;Reduplication,Exclusively suffixing,Most word-formation involves affixation (rather than non-affixal word-formation strategies),"Nominalizers;Verbalizers;Other verbal derivational morphology (e.g., causative, applicative, passive, reflexive);Verbal inflectional morphology (e.g., tense, aspect, mood);Nominal inflectional morphology (e.g., case, number, gender)",SOV,Consistently head-final
2025/11/24 2:44:28 PM EST,9d94221cb960e398,df6d62b2019b7323,Osage,"University of Nebraska Press Lincoln and London, Carolyn Quintero","Yes, my grammar was fine to work with (even if not perfect)","Agglutinating (= synthetic and has few/no ""fused"" morphemes, potentially just fused morphemes of the most common type, which is person+number)",Suffixation;Prefixation;Compounding,Mostly prefixing,Most word-formation involves affixation (rather than non-affixal word-formation strategies),"Nominalizers;Other verbal derivational morphology (e.g., causative, applicative, passive, reflexive);Verbal inflectional morphology (e.g., tense, aspect, mood)",SOV,Mixed headedness (roughly equal initial/final)
2025/11/24 5:13:42 PM EST,5184771dff96d960,1e02a2dc118da077,Tayap,"Publisher: Walter de Gruyter Inc. (2019), Authors: Don Kulick and Angela Terrill","Yes, my grammar was great to work with","Fusional (= synthetic and has a good number of ""fused"" morphemes);Polysynthetic (= expresses whole sentence meanings in complex words; most sentences have words with 5+ morphemes)",Suffixation;Compounding;Reduplication,Exclusively suffixing,There's an equal mix of affixation and non-affixal word-formation strategies,"Nominalizers;Verbalizers;Other verbal derivational morphology (e.g., causative, applicative, passive, reflexive);Verbal inflectional morphology (e.g., tense, aspect, mood);Nominal inflectional morphology (e.g., case, number, gender)",SOV,Consistently head-final
2025/11/25 2:58:55 PM EST,f5ce3b05df32e19e,0d07c1c280ee2449,Assyrian Neo-Aramaic,"Geoffrey Khan, Leiden/Boston/Brill Publisher.","Maybe (e.g., perhaps only for a student with a linguistics background)","Fusional (= synthetic and has a good number of ""fused"" morphemes)",Suffixation;Prefixation;Infixation;Compounding;Root-and-pattern;Internal change;Suppletion;Reduplication,Mostly suffixing,Most word-formation involves affixation (rather than non-affixal word-formation strategies),"Verbal inflectional morphology (e.g., tense, aspect, mood);Nominal inflectional morphology (e.g., case, number, gender)",SVO;VSO,Mostly head-initial
2025/11/25 3:23:59 PM EST,58a2c81244a125f8,fc5d7b9225a749a5,Mambay,"Rudiger Koppe Verlag, Anonby","Yes, my grammar was great to work with","Analytic (= has derivational but not inflectional morphology);Agglutinating (= synthetic and has few/no ""fused"" morphemes, potentially just fused morphemes of the most common type, which is person+number)",Suffixation;Prefixation;Compounding;Internal change;Stress or tone shift;Conversion,Mostly suffixing,Most word-formation involves non-affixal word-formation strategies,"Nominalizers;Verbalizers;Other verbal derivational morphology (e.g., causative, applicative, passive, reflexive);Verbal inflectional morphology (e.g., tense, aspect, mood);Nominal inflectional morphology (e.g., case, number, gender)",SVO,Mostly head-initial
2025/11/25 4:19:23 PM EST,435b497234872d61,217dcd2c1ddbcef8,Central Atlas Tamazight,"Ali Alalou, LINCOM GmbH","Maybe, but only because he was very inconsistent with IPA and glossing, as it seemed he just combined different texts without putting them into the same format. This made the work very confusing. Also, there were at least two sections that were in the table of contents that just didn't exist, which made the work difficult as well. All in all, it was doable, it was just more difficult than it needed to be.","Fusional (= synthetic and has a good number of ""fused"" morphemes)",Suffixation;Prefixation;Compounding;Root-and-pattern;Internal change,Roughly even mix of prefixing and suffixing,Most word-formation involves affixation (rather than non-affixal word-formation strategies),"Nominalizers;Verbalizers;Other verbal derivational morphology (e.g., causative, applicative, passive, reflexive)",SVO;VSO,Consistently head-initial
2025/11/25 6:01:47 PM EST,3daf1050ff876a14,de827bc38003ef8f,Skolt Saami,"Suomalais-Ugrilaisen Seuran Toimituksia, Timothy Feist","Yes, my grammar was great to work with","Fusional (= synthetic and has a good number of ""fused"" morphemes)",Suffixation;Compounding;Internal change;Suppletion;Conversion,Exclusively suffixing,Most word-formation involves affixation (rather than non-affixal word-formation strategies),"Nominalizers;Verbalizers;Other verbal derivational morphology (e.g., causative, applicative, passive, reflexive);Verbal inflectional morphology (e.g., tense, aspect, mood);Nominal inflectional morphology (e.g., case, number, gender)",SVO;SOV,Mixed headedness (roughly equal initial/final)
2025/11/25 7:16:39 PM EST,da988d7a9807d34f,2bf1379ea209c59c,Ute ,"John Benjamins publishing company, T. Givón","Yes, my grammar was fine to work with (even if not perfect)",Polysynthetic (= expresses whole sentence meanings in complex words; most sentences have words with 5+ morphemes),Suffixation;Prefixation;Compounding;Reduplication,Roughly even mix of prefixing and suffixing,Most word-formation involves affixation (rather than non-affixal word-formation strategies),"Nominalizers;Verbalizers;Other verbal derivational morphology (e.g., causative, applicative, passive, reflexive);Verbal inflectional morphology (e.g., tense, aspect, mood);Nominal inflectional morphology (e.g., case, number, gender)",SOV,Mostly head-final
2025/11/25 7:26:08 PM EST,dec250c2a2568248,43201786c31cc1f7,Aftab,"published by Berlin ; New York : Mouton de Gruyter, 2010. Author is Marian Klamer.","Yes, my grammar was great to work with",Isolating;Analytic (= has derivational but not inflectional morphology),Suffixation;Prefixation;Compounding;Reduplication,Exclusively prefixing,Complex word-formation is very infrequent; my language is mostly isolating,"Nominalizers;Other verbal derivational morphology (e.g., causative, applicative, passive, reflexive)",SOV,Consistently head-final
2025/11/25 9:33:27 PM EST,ea4086725dce2259,76ada40e5abc0fb7,Alto Perené,Publisher: De Gruyter Mouton; Author: Elena Mihas,"Yes, my grammar was fine to work with (even if not perfect)","Agglutinating (= synthetic and has few/no ""fused"" morphemes, potentially just fused morphemes of the most common type, which is person+number);Polysynthetic (= expresses whole sentence meanings in complex words; most sentences have words with 5+ morphemes)",Suffixation;Prefixation;Infixation;Compounding;Reduplication,Mostly suffixing,Most word-formation involves affixation (rather than non-affixal word-formation strategies),"Nominalizers;Verbalizers;Other verbal derivational morphology (e.g., causative, applicative, passive, reflexive);Verbal inflectional morphology (e.g., tense, aspect, mood);Nominal inflectional morphology (e.g., case, number, gender)",VSO,Mostly head-initial
2025/11/25 10:55:24 PM EST,cfe042776e9f8509,466e63e9798216ac,Bilinarra,"Publisher: de Gruyter, Author: Felicity Meakins and Rachel Nordlinger","Yes, my grammar was great to work with","Agglutinating (= synthetic and has few/no ""fused"" morphemes, potentially just fused morphemes of the most common type, which is person+number);Polysynthetic (= expresses whole sentence meanings in complex words; most sentences have words with 5+ morphemes)",Suffixation;Reduplication;Conversion,Exclusively suffixing,Most word-formation involves affixation (rather than non-affixal word-formation strategies),"Nominalizers;Other verbal derivational morphology (e.g., causative, applicative, passive, reflexive);Verbal inflectional morphology (e.g., tense, aspect, mood);Nominal inflectional morphology (e.g., case, number, gender)","No basic word order (i.e., at least seemingly free word order)",Mixed headedness (roughly equal initial/final)
2025/11/25 11:29:31 PM EST,c5cfbdda0d31eafe,5a1f2f9812b060e7,Kokota,Publisher: University of Hawai'i Press Author: Bill Palmer,"Yes, my grammar was fine to work with (even if not perfect)",Analytic (= has derivational but not inflectional morphology),Suffixation;Prefixation;Compounding;Suppletion;Reduplication;Conversion,Mostly suffixing,Most word-formation involves affixation (rather than non-affixal word-formation strategies),"Nominalizers;Verbalizers;Other verbal derivational morphology (e.g., causative, applicative, passive, reflexive)",VSO;VOS,Mostly head-initial
2025/11/25 11:29:37 PM EST,074fc5b55831045a,5d10eef1ca269351,Baba Malay,Nala H. Lee (Mouton Grammar Library),"Yes, my grammar was great to work with",Isolating;Analytic (= has derivational but not inflectional morphology),Suffixation;Prefixation;Compounding;Reduplication,None of the above; my language has no (or VERY little) affixation.,Complex word-formation is very infrequent; my language is mostly isolating,"Nominalizers;Verbalizers;Other verbal derivational morphology (e.g., causative, applicative, passive, reflexive)",SVO,Mostly head-initial
2025/11/25 11:57:00 PM EST,2383b1073b86bbb8,c86a112ededa28f7,Hawaiian,"University of California, Mission Press. Lorrin Andrews","Maybe (e.g., perhaps only for a student with a linguistics background)","Analytic (= has derivational but not inflectional morphology);Agglutinating (= synthetic and has few/no ""fused"" morphemes, potentially just fused morphemes of the most common type, which is person+number)",Suffixation;Prefixation;Infixation;Compounding;Reduplication,Mostly prefixing,Most word-formation involves affixation (rather than non-affixal word-formation strategies),"Nominalizers;Verbalizers;Other verbal derivational morphology (e.g., causative, applicative, passive, reflexive)",VSO,Consistently head-initial
2025/11/26 12:24:23 PM EST,2dc2b69cddb24db0,9934c5254f10a8a4,Pangkhua,"De Gruyter Mouton, Akter, Zahid","Yes, my grammar was fine to work with (even if not perfect)","Agglutinating (= synthetic and has few/no ""fused"" morphemes, potentially just fused morphemes of the most common type, which is person+number)",Suffixation;Prefixation;Compounding;Internal change,Mostly suffixing,Most word-formation involves non-affixal word-formation strategies,"Nominalizers;Other verbal derivational morphology (e.g., causative, applicative, passive, reflexive);Verbal inflectional morphology (e.g., tense, aspect, mood);Nominal inflectional morphology (e.g., case, number, gender)",SOV;OSV,Consistently head-final
