Timestamp,Username,Your name,Your language,What country (or countries) is/was your language primarily spoken in (originally)?,What language family does your language belong to?,"Level of endangerment (according to Ethnologue, or according to your grammar if that has been deemed more reliable)","1. How many consonant phonemes does your language have in total (including affricates, non-pulmonic consonants, etc.)?","2. How many vowel phonemes does your language have in total (including diphthongs, triphthongs, long vowels, nasalized vowels, etc.)? (Do not include vowels with distinct tones as being distinct from each other.)",3. How many phonemes (consonants + vowels) does your language have in total?,4. Which of the following consonant phonemes does your language have?,5. Which of the following less common consonant phonemes does your language have?,6. Does your language have any of the following types of consonants (as phonemes)?,7. Which of the following common vowel phonemes does your language have?,8. Which of the following less common vowel phonemes does your language have?,9. Does your language have any vowels of the following types (as phonemes)? ,10. Which of the following phonetic and phonological properties does your language have?,11. Which of the following characteristics of syllables are allowed in your language?
2023/10/02 7:13:59 PM MDT,ec9fe27525f1e3d8,55176d96092d2637,Tariana,Brazil,Arawak family,8a,23,15,38,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/h/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/tʃ/;/ɲ/","/pʰ/;/tʰ/ (including dental, alveolar, or postalveolar /tʰ/);/dʰ/ (including dental, alveolar, or postalveolar /dʰ/);/kʰ/;/ɾ/ (including dental, alveolar, or postalveolar /ɾ/)",Affricates;Aspirated,/e/;/i/;/u/;/ɨ/;/ɵ/,/ɑ/,Nasalized vowels;Long vowels,"There is tone (including ""pitch accent"", but not including intonation) in the language.;There is stress (may also be called ""accent"") in the language, and stress is mostly predictable (follows a set pattern).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);CC onset (syllable with a two onset consonants, e.g., CCV or CCVC);C coda (syllable with a single coda consonant, e.g., VC or CVC)"
2023/10/03 1:25:06 PM MDT,3c8bfa599b71218a,07f6e2cc61eb1291,Khatso,China,Sino-Tibetan ,6b,24,27,53,"/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/w/;/ŋ/;/f/;/ɲ/;/z/;/ts/;/x/","/pʰ/;/tʰ/ (including dental, alveolar, or postalveolar /tʰ/);/ʈʰ/;/kʰ/;/ɭ/;/ɣ/",Affricates;Aspirated,/o/;/i/,/ɛ/;/aᶠ/;/ɤ/,Diphthongs;Triphthongs,"There is tone (including ""pitch accent"", but not including intonation) in the language.","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC)"
2023/10/03 5:41:55 PM MDT,2798aa54b0e9e55d,d4cdf8a055d0016f,Baba Malay,"Malaysia, Singapore",Creole,8a,19,12,31,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/h/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ŋ/;/ʔ/;/tʃ/;/dʒ/","/ɾ/ (including dental, alveolar, or postalveolar /ɾ/)",Affricates,/a/;/e/;/o/;/i/;/u/,/ɛ/;/ɘ/;/ɔ/,Diphthongs,"There is stress (may also be called ""accent"") in the language, and stress is mostly predictable (follows a set pattern).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);CC onset (syllable with a two onset consonants, e.g., CCV or CCVC);C coda (syllable with a single coda consonant, e.g., VC or CVC);CC coda (syllable with two coda consonants, e.g., VCC or CVCC)"
2023/10/03 6:39:07 PM MDT,671029d242504936,8dedd11940fc80f1,Longxi Qiang,China,Sino-Tibetan,6b,29,21,50,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ŋ/;/ɲ/;/z/;/ts/;/dʒ/;/v/","/pʰ/;/tʰ/ (including dental, alveolar, or postalveolar /tʰ/);/kʰ/;/qʰ/;/ɹ/ (including dental, alveolar, or postalveolar /ɹ/);/χ/;/ʁ/",Affricates;Aspirated,/e/;/o/;/u/;/ə/;/y/,/aᶠ/,Diphthongs;Triphthongs,"There is tone (including ""pitch accent"", but not including intonation) in the language.","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);C coda (syllable with a single coda consonant, e.g., VC or CVC)"
2023/10/03 6:53:36 PM MDT,d6a2d43e6ac9c5d2,4eaca2403c5694c0,Dolgan,Russia,Turkic,6b,17,20,37,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/h/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ŋ/;/tʃ/;/r/ (including dental, alveolar, or postalveolar /r/);/ɲ/",/ɟ/,Affricates,/e/;/o/;/i/;/u/;/ɨ/;/y/,/œ/;/ɑ/,Long vowels;Diphthongs,"There is stress (may also be called ""accent"") in the language, and stress is mostly predictable (follows a set pattern).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);C coda (syllable with a single coda consonant, e.g., VC or CVC);CC coda (syllable with two coda consonants, e.g., VCC or CVCC)"
2023/10/03 9:40:33 PM MDT,d4a6643d89635b97,ae0a6f20b95fd9c2,Māori,New Zealand,Austronesian,6b,10,36,46,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/p/;/ŋ/;/f/;/x/","/ɾ/ (including dental, alveolar, or postalveolar /ɾ/)",None of the above,/a/;/e/;/o/;/i/;/u/;/ə/;/ɵ/;/ʉ/,/ɛ/;/aᶠ/;/ɪ/;/ɐ/;/ʊ/;/ɔ/;/ɑ/;/ɒ/,Long vowels,None of the above,"V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC)"
2023/10/04 10:32:19 AM MDT,2715a6d085c66b77,8f787cfbb011ab67,Lepcha,India and Nepal,Tibeto-Burman,6b,32,8,40,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/h/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ŋ/;/ʃ/;/ʔ/;/f/;/r/ (including dental, alveolar, or postalveolar /r/);/ɲ/;/z/;/ts/;/v/","/pʰ/;/tʰ/ (including dental, alveolar, or postalveolar /tʰ/);/ʈʰ/;/cʰ/;/kʰ/;/ʒ/;/ʈ/;/ɖ/;/c/",Affricates;Aspirated,/a/;/o/;/i/;/u/;/ə/;/ɯ/,/ɛ/;/ɔ/,None of the above,None of the above,"C onset (syllable with a single onset consonant, e.g., CV or CVC);CC onset (syllable with a two onset consonants, e.g., CCV or CCVC);CCC onset (syllable with three onset consonants, e.g., CCCV or CCCVC);C coda (syllable with a single coda consonant, e.g., VC or CVC)"
2023/10/04 11:54:34 AM MDT,aa1ed4c99ebcf838,4586a065f022c3a4,Şirvan Tat,"Azerbaijan, Russia",Indo-European,6b,30,13,43,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/h/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ʃ/;/tʃ/;/f/;/r/ (including dental, alveolar, or postalveolar /r/);/ts/;/dʒ/",/dz/;/ʒ/;/c/;/ɟ/;/q/;/ɢ/;/χ/;/ʁ/;/ħ/;/ʕ/,Affricates,/e/;/o/;/i/;/u/;/ɯ/;/y/;/ø/,/æ/,Long vowels,"There are ""complex consonant"" phonemes (NOTE: ""complex consonants"" are any of those on the following list: clicks, ejectives, implosives, glottalized (have the glottal stop as a diacritic), labial-velar stops, dental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal(ized) consonants).;There is stress (may also be called ""accent"") in the language, and stress is mostly predictable (follows a set pattern).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);C coda (syllable with a single coda consonant, e.g., VC or CVC)"
2023/10/04 1:36:13 PM MDT,86e3487429c05a08,ce554821e6ee681f,Domari,"Palestine, Iran, Iraq, Turkey, Syria",Indo-European,8a,34,10,44,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/h/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ŋ/;/ʃ/;/ʔ/;/tʃ/;/f/;/r/ (including dental, alveolar, or postalveolar /r/);/z/;/ts/;/dʒ/;/x/;/v/",/ɣ/;/χ/;/ħ/;/ʕ/,Pharyngealized,/a/;/e/;/o/;/i/;/u/,None of the above,Long vowels,"There are ""complex consonant"" phonemes (NOTE: ""complex consonants"" are any of those on the following list: clicks, ejectives, implosives, glottalized (have the glottal stop as a diacritic), labial-velar stops, dental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal(ized) consonants).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);CC onset (syllable with a two onset consonants, e.g., CCV or CCVC);C coda (syllable with a single coda consonant, e.g., VC or CVC)"
2023/10/04 3:39:08 PM MDT,5ba840038d216da5,50622929fd30bd72,Mavea,Mavea (North Vanuatu),Austronesian,7,15,5,20,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/ŋ/;/r/ (including dental, alveolar, or postalveolar /r/);/v/",/ɖ/,None of the above,/e/;/o/;/i/;/u/,/ɑ/,None of the above,"There is stress (may also be called ""accent"") in the language, and stress is mostly predictable (follows a set pattern).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);CC onset (syllable with a two onset consonants, e.g., CCV or CCVC);C coda (syllable with a single coda consonant, e.g., VC or CVC)"
2023/10/04 3:57:22 PM MDT,19542e9f54712fca,c5c0fcb18b8740b5,Puyuma,Taiwan,Austronesian ,8a,18,4,22,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ŋ/;/ʔ/;/r/ (including dental, alveolar, or postalveolar /r/)",/ʈ/;/ɖ/;/ɭ/,None of the above,/a/;/e/;/i/;/u/,None of the above,None of the above,"There is stress (may also be called ""accent"") in the language, and stress is mostly predictable (follows a set pattern).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);C coda (syllable with a single coda consonant, e.g., VC or CVC)"
2023/10/04 3:59:11 PM MDT,c5de5b88c11556a2,e1ad94fdc2937066,Hainan Cham,China,Austronesian,6b,19,21,40,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/h/;/ŋ/;/ʔ/;/ɲ/;/z/;/ts/;/v/","/pʰ/;/tʰ/ (including dental, alveolar, or postalveolar /tʰ/);/kʰ/",Implosives,/a/;/e/;/o/;/i/;/u/;/ə/,None of the above,Long vowels;Diphthongs;Triphthongs,"There are ""complex consonant"" phonemes (NOTE: ""complex consonants"" are any of those on the following list: clicks, ejectives, implosives, glottalized (have the glottal stop as a diacritic), labial-velar stops, dental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal(ized) consonants).;There is tone (including ""pitch accent"", but not including intonation) in the language.","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);C coda (syllable with a single coda consonant, e.g., VC or CVC)"
2023/10/04 9:42:34 PM MDT,ad2de6d771a75c97,08d911ac84da302e,Tommo So,Mali,Niger-Congo,6a,17,17,34,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/h/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ŋ/;/ɲ/;/dʒ/",None of the above,Affricates,/a/;/e/;/o/;/i/;/u/,/ɛ/;/ɔ/,Nasalized vowels;Long vowels,"There is tone (including ""pitch accent"", but not including intonation) in the language.;There is stress (may also be called ""accent"") in the language, and stress is mostly predictable (follows a set pattern).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);C coda (syllable with a single coda consonant, e.g., VC or CVC)"
